iter	Logloss
0	0.6696089172
1	0.6393360519
2	0.6181961823
3	0.6000088501
4	0.5821265793
5	0.5778842545
6	0.5647772217
7	0.5598217773
8	0.5421897125
9	0.5293298721
10	0.527843399
11	0.5149208069
12	0.5072853088
13	0.4962526703
14	0.4818318558
15	0.4752008057
16	0.4634529877
17	0.4629875946
18	0.4575388336
19	0.4504862976
20	0.4440266418
21	0.4355742264
22	0.427779007
23	0.4241959763
24	0.4138922119
25	0.4066212463
26	0.3996652222
27	0.3958569336
28	0.3914782715
29	0.3862020111
30	0.3797834015
31	0.3727320862
32	0.3676930237
33	0.361764679
34	0.3536620331
35	0.3475367355
36	0.3390255737
37	0.3340934753
38	0.330954361
39	0.3264029312
40	0.3242256927
41	0.3173740005
42	0.3137539291
43	0.309136734
44	0.3036789131
45	0.2991755867
46	0.2951070213
47	0.2922039795
48	0.288897419
49	0.2850831985
50	0.2803520966
51	0.2773572922
52	0.2725495911
53	0.2688779068
54	0.264954834
55	0.262271328
56	0.2589842606
57	0.2552597237
58	0.251290741
59	0.2464781189
60	0.2437249374
61	0.241924057
62	0.238422699
63	0.2366423607
64	0.2333587456
65	0.2312447739
66	0.2278046989
67	0.2266378975
68	0.2250542259
69	0.2221684647
70	0.220214138
71	0.2189950371
72	0.2154107666
73	0.2134977341
74	0.2119756508
75	0.2094230652
76	0.2073744965
77	0.2040766907
78	0.2020197296
79	0.1998891258
80	0.1974005127
81	0.1957741547
82	0.1941534996
83	0.190863266
84	0.1880223083
85	0.1865788651
86	0.1853158951
87	0.1823806381
88	0.1787788963
89	0.1767348671
90	0.1753453636
91	0.1746305847
92	0.1727765846
93	0.1716970634
94	0.1697850037
95	0.1681840897
96	0.1669712257
97	0.1662207222
98	0.1636182976
99	0.1629540634
100	0.1602938271
101	0.1588820839
102	0.1563946819
103	0.1546859264
104	0.1531806946
105	0.1513505459
106	0.1499237251
107	0.1478792191
108	0.1476407051
109	0.1461462879
110	0.1445928192
111	0.1431459904
112	0.1412490273
113	0.140675621
114	0.138786068
115	0.1371388054
116	0.1359827137
117	0.1337238598
118	0.1320281219
119	0.1316425228
120	0.1308588791
121	0.1291317177
122	0.1279595184
123	0.1269845963
124	0.1248389244
125	0.1235720158
126	0.1225662422
127	0.1211338997
128	0.1205624962
129	0.1197570038
130	0.1185092449
131	0.1175413704
132	0.1170638657
133	0.1165216732
134	0.1154324341
135	0.1134788132
136	0.1129077148
137	0.1116670036
138	0.1114118862
139	0.1108090019
140	0.1095487118
141	0.1086783981
142	0.107562542
143	0.1066500092
144	0.1055640793
145	0.1048727608
146	0.1040254116
147	0.1032847786
148	0.1024859238
149	0.1020944595
150	0.1009813023
151	0.1002894974
152	0.09935277939
153	0.09822389603
154	0.09762317657
155	0.0969790554
156	0.09610147476
157	0.09558286667
158	0.09501094818
159	0.09434051514
160	0.09375964165
161	0.09308851242
162	0.09199808121
163	0.0913048172
164	0.09043598175
165	0.08973704338
166	0.08844758987
167	0.08749060631
168	0.0864897728
169	0.08579198837
170	0.08548313141
171	0.08472801208
172	0.08409296036
173	0.08357107162
174	0.0827986908
175	0.08194129944
176	0.08152198792
177	0.08080721855
178	0.08026748657
179	0.07904410362
180	0.07836915016
181	0.07794504166
182	0.07738080025
183	0.07674793243
184	0.07564360619
185	0.07523826599
186	0.07486619473
187	0.07443205833
188	0.07391607285
189	0.07362075806
190	0.07313696861
191	0.07281606674
192	0.07223300934
193	0.07145720005
194	0.070769701
195	0.07008658409
196	0.06986352444
197	0.06919532776
198	0.06876915932
199	0.06828611374
